material_id,formula_pretty,volume,density,formation_energy_per_atom,energy_above_hull,band_gap,total_magnetization
mp-639755,Rb,95.35172383207295,1.488411694436694,0.007387402500000001,0.007387402500000001,0.0,2.9100000000000003e-05
mp-999200,Si,85.03542034009838,2.193771478683577,0.11663319999999901,0.11663319999999901,0.439799999999999,0.0
mp-974920,Na,37.05414937154716,1.030260057844173,0.012510683448275,0.012510683448275,0.0,0.0070025
mp-850274,H2,34.55693570469039,0.09686760211786001,0.0017543562500000002,0.0017543562500000002,8.5338,0.0
mp-975519,Rb,95.68113921348974,1.4832873229037211,0.016627212499999003,0.016627212499999003,0.0,2.65e-05
mp-1180157,Os,725.979187719575,3.480919034404441,3.9035489425000023,3.9035489425000023,0.0,2.6228361
mp-583072,S,2928.126783960359,1.891140539338963,0.026070752379807,0.026070752379808004,2.4672,0.0
mp-1094073,S,116.54764629430657,1.8274134892596572,0.5708694668750001,0.5708694668750001,0.0,0.0
mp-556269,S,1964.8708235426507,1.951096882146262,0.031339838715278005,0.031339838715279004,2.3783,0.0
mp-1065250,S,134.76762632015075,1.5803553627465932,0.347627704375,0.347627704375,0.0097,0.00012749999999900002
mp-542605,Se,1056.161038096026,3.972611296022905,0.0018038528125000001,0.0018038528125000001,1.390199999999999,0.0
mp-542461,Se,1051.2788776342084,3.991060183575235,0.0035756384374990005,0.0035756384374990005,1.5703,0.0
mp-723638,C,719.6868630744448,1.330194290992207,1.041364663541666,1.041364663541665,1.876599999999999,0.0002899
mp-1077098,Hg,225.6113573581823,8.858264989926415,0.017943575000003,0.017943575000003,1.0394,0.0003742
mp-83,S,1494.2997364741343,1.9954031316039922,0.028929664687500002,0.028929664687501,2.5729,0.0
mp-1179643,S,157.41454155871742,1.3529927976840361,0.34840703437500004,0.34840703437500004,0.0,0.0127636
mp-557488,S,993.3686792517286,1.9296226153023,0.012285684965277,0.012285684965277,2.4187,1e-07
mp-1080694,Os,117.2557296017646,21.551823366732208,0.23444609375000103,0.23444609375000103,0.0,0.0
mp-1179962,Pu,151.66852944293663,21.371422732906005,0.00013866874999700002,0.00013866874999700002,0.0,0.0008874999999990001
mp-570481,Se,2135.296539085758,3.929868468906878,0.0,0.0,1.7696,0.0
mp-557559,S,746.6490425344975,1.9967415772703832,0.030134763973215004,0.030134763973215004,2.496299999999999,0.0
mp-567144,Sb,131.58360312171288,6.146274519088697,0.27059629500000004,0.27059629500000004,0.0,1e-07
mp-568087,Bi,163.60018004690514,8.484590145048406,0.214916299999998,0.214916299999998,0.0,0.0
mp-1102666,Pb,406.8619420926282,10.14782634610308,0.11592558166666801,0.11592558166666501,0.0,6.170000000000001e-05
mp-570384,Ba,261.9251292827098,3.4824737744479,0.1302275475,0.1302275475,0.0,0.0027841
mp-567308,Sc,103.22500331899548,2.8927506224412762,0.20573354000000002,0.20573354000000002,0.0,0.003411699999999
mp-1078640,K,791.8034122380009,0.6559633725663391,0.166350255749999,0.166350255749999,0.0,0.0004517
mp-1008498,Ca,184.8578506891327,1.440048871196534,0.179569497499999,0.179569497499999,0.0,1.16e-05
mp-567826,Sr,247.41716059082677,2.352244810635603,0.181785007499998,0.181785007499998,0.0,0.0558506
mp-1216274,W,68.84760055324989,17.736188308705483,0.804129780000003,0.804129780000003,0.0,0.0005166999999990001
mp-1525145,Bi,66.82103743263235,10.386552863337027,0.081740279999998,0.081740279999998,0.0,2e-07
mp-1184591,Hg,53.991763371277756,12.338457222772911,0.010926082499999,0.010926082499999,0.0,0.0
mp-1057139,Mn,23.878792951430224,7.640819211480683,0.657519872068965,0.657519872068965,0.0,2.3374591000000002
mp-84,Sn,55.30019011735618,7.129183179217255,0.12017831000000001,0.12017831000000001,0.0,1e-07
mp-10617,Sr,111.04385967896607,2.620521898934893,0.258648878333334,0.258648878333334,0.0,2.6300000000000002e-05
mp-92,Si,29.899999100890987,3.119536545645218,0.28873980000000005,0.28873980000000005,0.0,0.0
mp-1180961,K,156.9184197793768,0.8274905480048621,0.07119881125000001,0.07119881125000001,0.0,1.18e-05
mp-78,Ge,37.04818897838597,6.511603461545447,0.22971913499999902,0.22971913499999902,0.0,3e-07
mp-3,Cs,250.3472162228278,1.7631088403846462,0.07448497000000001,0.07448497000000001,0.0,1.6e-06
mp-639736,Rb,192.16933776002458,1.477057916633758,0.07019465250000001,0.07019465250000001,0.0,0.0011829
mp-655141,S,894.4922654838493,1.071460728495098,0.357308728541666,0.357308728541666,0.8323,0.0028848
mp-608100,S,1105.4151880657635,0.8670166148934241,0.44014294409722204,0.44014294409722304,0.310899999999999,5.9960928
mp-128,Ge,173.07655475511845,5.575408314245142,0.1475858025,0.1475858025,0.0,4.9400000000000015e-05
mp-147,Se,178.72568178398964,4.401700865481822,0.023391177604165002,0.023391177604166,1.5329000000000002,0.0
mp-571520,Si,144.98047197598675,2.573426300486528,0.19694103500000001,0.19694103500000001,0.0,0.0
mp-7,S,152.79889506945906,2.090794644321832,0.0512361921875,0.051236192187499,2.1651,0.0
mp-2739215,O2,143.13933119733935,1.4848541519396161,0.012019398749999001,0.012019398749999001,2.6679999999999993,8.0000002
mp-1180050,O2,83.59733149131358,2.542437975503007,0.769024454999999,0.769024454999999,0.0,0.0
mp-1199894,Si,1873.1746578633101,2.041582038415872,0.128874325731708,0.128874325731707,0.998499999999999,0.0
mp-561203,F2,53.43199913502352,2.361700196685299,0.0023734074999990002,0.0023734074999990002,2.8962,0.0
mp-1087546,O2,141.3877802843624,1.503248935705488,0.017992666249999,0.017992666249999,0.0,8.0000001
mp-1067793,F2,46.78184221289158,2.6974218392729252,0.277234039999999,0.277234039999999,0.0,0.0005249
mp-1525391,Rb,190.9089351332578,1.486809621951858,0.014380673749998001,0.014380673749998001,0.0,6e-07
mp-1179656,Rb,722.1109726006154,1.572308148984186,0.0,0.0,0.0,0.0090151
mp-557376,S,552.1624687973816,1.928605736673433,0.026719425187499,0.026719425187501002,2.1627,0.0
mp-1077335,U,125.24354597893067,18.935409451040684,0.281440481666663,0.281440481666663,0.0,0.79005
mp-604325,K,156.25808135754153,0.8309874794774991,0.073541117,0.073541117,0.0,1.1400000000000003e-05
mp-557031,S,854.1055156784778,1.9948892690195832,0.0336984834375,0.0336984834375,2.0442,0.0
mp-1523415,F2,52.427414140083904,2.406953784317844,0.30951384749999905,0.30951384749999905,0.4797,0.0
mp-1183057,Ac,136.02668597010646,8.313273945401516,0.015585797500004002,0.015585797500008,0.0,0.0228007
mp-19,Te,108.19281571621227,5.875199295688813,0.0,0.0,0.18560000000000001,0.0
mp-567630,Pr,219.14820014374217,6.406148646103244,0.008282981666662,0.008282981666663001,0.0,0.0632023
mp-14,Se,87.4965105383371,4.495590643284683,0.001081077604167,0.001081077604167,0.8765000000000001,0.0
mp-567313,Te,108.6885636876877,5.848401461270641,0.000981610000001,0.0009816100000000002,0.5606,0.0
mp-555760,S,233.2140733904172,2.054793093048255,0.029379828298611,0.029379828298612003,2.2718,0.0
mp-1179917,Pr,109.98372407991906,6.382289549618559,0.035177221666666,0.035177221666668,0.0,5e-07
mp-2421172,O2,126.53331278793003,1.259792928545513,0.9162664466666661,0.9162664466666661,2.764199999999999,0.0
mp-1023923,O2,106.48195432381017,1.49702147831473,0.9644220599999991,0.96442206,2.3448,1.9200000000000003e-05
mp-1202745,Si,1367.625529316279,1.977844080420144,0.144239747241379,0.144239747241378,0.8932000000000001,3e-07
mp-990424,C,126.09476181343716,0.632674547562438,0.008908770000001,0.008908770000001,0.012399999999999,0.0
mp-1271142,Co,43.53825791953996,8.99079359563772,0.010144927499998001,0.010144927499998001,0.0,6.3527117
mp-1014111,Ni,68.35930211462892,2.8514826991109192,0.6202391299999991,0.6202391299999991,0.0,1.3472965000000001
mp-1120774,Cu,133.40886576231534,4.745739269569768,0.18032071500000002,0.18032071500000002,0.0,3e-07
mp-1238818,Ti,208.54801594917902,2.286812170497326,0.310307806666666,0.310307806666665,0.0,1.609970999999999
mp-11698,Tb,96.77094846376298,8.181228660176853,0.0034975233333320002,0.0034975233333330003,0.0,0.302855
mp-10658,Dy,94.85570019384065,8.534150223057072,0.011588688333337,0.011588688333336001,0.0,5.6800000000000005e-05
mp-1184764,K,230.91572591110918,0.8434798582662051,0.00803126625,0.00803126625,0.0,5e-07
mp-1094057,Si,125.36847831882837,3.3479997143102542,0.517749729999999,0.51774973,0.0,2e-07
mp-160,B,86.74916330018324,2.483309878652122,0.0,0.0,1.433399999999999,0.0
mp-1018122,Tm,91.99032559730634,9.148413821847239,0.006666056666659001,0.006666056666659001,0.0,1.6202419
mp-1184115,Er,92.66521360457801,8.99172708732831,0.0,0.0,0.0,0.000474
mp-104,Sb,62.881010949113254,6.430788363527963,0.0,0.0,0.0,0.0
mp-1018134,Li,61.205660097660434,0.5649380290750841,0.0,0.0,0.0,4.26e-05
mp-1183069,Ac,138.84105617575773,8.144760170385736,0.011821722500002001,0.011821722500002001,0.0,0.0009714999999990001
mp-1183542,Cd,21.93906692037408,8.508240468614689,0.024284360000002003,0.024284360000002003,0.0,0.0
mp-1187739,Y,100.68328614538838,4.3988920949927195,0.042620386666664005,0.042620386666666,0.0,0.3179281
mp-1187812,Zn,43.333342568079175,7.519442999574767,0.007402094999998001,0.007402094999999001,0.0,0.0
mp-130,P,32.28745931432384,3.185951631552069,0.11263016202381002,0.11263016202381002,0.0,7e-07
